Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Net Job Change,Percent Job Change,AI Impact Score,Career Stability Index,Median Salary Norm,High-Opportunity Career Score
"Psychologist, Clinical",Healthcare,Decreasing,Moderate,99035.54,Master’S Degree,6,7817,8361,46.69,1.61,Brazil,43.88,544,6.96,2,6.85,0.58,0.5
Ambulance Person,Finance,Decreasing,High,139564.97,Master’S Degree,0,5762,3736,48.41,23.88,China,59.54,-2026,-35.16,3,-26.76,0.91,0.36
Chartered Accountant,Entertainment,Decreasing,High,92756.17,Bachelor’S Degree,0,1637,8112,58.55,37.54,Usa,75.27,6475,395.54,3,247.05,0.52,1.93
Ship Broker,It,Increasing,Moderate,131929.37,Bachelor’S Degree,18,9046,9792,65.01,77.27,Canada,28.85,746,8.25,2,1.87,0.85,0.36
Energy Engineer,Entertainment,Increasing,Moderate,33227.6,High School,2,6941,528,81.2,48.96,Canada,39.59,-6413,-92.39,2,-47.16,0.03,-0.21
"Scientist, Research (Life Sciences)",Healthcare,Increasing,Low,37160.63,Bachelor’S Degree,2,3942,7059,1.25,34.24,Usa,51.02,3117,79.07,1,52.0,0.06,0.53
Garment/Textile Technologist,It,Decreasing,High,143725.87,Master’S Degree,20,8323,121,11.38,35.23,Uk,30.87,-8202,-98.55,3,-63.83,0.95,0.08
"Chemist, Analytical",Retail,Decreasing,High,97118.73,Phd,11,853,5904,54.79,22.28,China,30.82,5051,592.15,3,460.22,0.56,2.77
"Copywriter, Advertising",Manufacturing,Increasing,Low,144718.36,Associate Degree,5,6193,4531,91.87,44.71,India,58.05,-1662,-26.84,1,-14.84,0.96,0.35
Neurosurgeon,Education,Increasing,Moderate,146765.2,Phd,7,3935,9095,83.82,97.14,China,64.95,5160,131.13,2,3.75,0.97,0.83
"Accountant, Chartered Public Finance",Manufacturing,Decreasing,High,102983.22,Bachelor’S Degree,2,4103,6920,46.1,67.03,India,74.67,2817,68.66,3,22.64,0.61,0.56
Special Educational Needs Teacher,Finance,Decreasing,Moderate,141855.22,Phd,3,3123,1216,90.4,32.46,Uk,39.52,-1907,-61.06,2,-41.24,0.93,0.24
"Engineer, Materials",Retail,Increasing,Moderate,69405.6,Bachelor’S Degree,0,7024,3532,63.36,4.07,Germany,39.68,-3492,-49.72,2,-47.69,0.33,0.19
Land,Finance,Increasing,Moderate,82258.64,Bachelor’S Degree,0,2569,5148,78.08,24.6,Uk,43.55,2579,100.39,2,75.69,0.44,0.76
"Designer, Blown Glass/Stained Glass",Retail,Decreasing,High,119362.55,Bachelor’S Degree,7,1484,2093,65.3,93.6,Germany,74.12,609,41.04,3,2.63,0.74,0.41
Information Officer,Education,Increasing,Moderate,67089.79,Associate Degree,4,5070,4339,40.86,56.44,China,43.89,-731,-14.42,2,-6.28,0.31,0.17
Best Boy,It,Increasing,Moderate,127432.36,High School,14,5295,5006,63.13,43.91,China,66.78,-289,-5.46,2,-3.06,0.81,0.39
Professor Emeritus,Manufacturing,Increasing,Moderate,147775.08,Master’S Degree,19,8203,175,24.14,38.59,China,73.43,-8028,-97.87,2,-60.1,0.98,0.09
Education Administrator,Manufacturing,Decreasing,Moderate,109621.49,Bachelor’S Degree,15,6155,1781,0.94,23.11,Usa,57.13,-4374,-71.06,2,-54.64,0.66,0.15
"Pharmacist, Community",It,Increasing,High,35932.02,High School,4,1303,2342,42.63,5.29,Usa,49.86,1039,79.74,3,75.52,0.05,0.62
"Scientist, Research (Medical)",Education,Increasing,High,116352.97,Phd,10,4258,4701,67.65,31.56,Uk,22.06,443,10.4,3,7.12,0.72,0.46
Financial Manager,Entertainment,Increasing,Moderate,111033.75,Master’S Degree,13,5282,7640,91.85,11.14,Uk,76.27,2358,44.64,2,39.67,0.68,0.65
Insurance Risk Surveyor,Education,Increasing,Moderate,104173.95,Bachelor’S Degree,3,6984,5581,98.71,32.3,Canada,76.96,-1403,-20.09,2,-13.6,0.62,0.31
Waste Management Officer,Entertainment,Decreasing,High,119050.91,Associate Degree,15,5900,1774,3.39,12.27,China,51.49,-4126,-69.93,3,-61.35,0.74,0.21
Consulting Civil Engineer,Education,Increasing,Low,59208.51,Master’S Degree,15,5258,4960,46.26,30.78,India,39.68,-298,-5.67,1,-3.92,0.24,0.26
"Surveyor, Building Control",It,Decreasing,High,147524.34,Bachelor’S Degree,10,4950,3766,66.36,38.53,Uk,76.44,-1184,-23.92,3,-14.7,0.98,0.38
"Editor, Film/Video",Entertainment,Decreasing,Moderate,135245.93,Master’S Degree,15,1947,5450,54.39,1.23,India,65.02,3503,179.92,2,177.7,0.88,1.28
Telecommunications Researcher,Transportation,Decreasing,Low,75039.84,Bachelor’S Degree,17,4907,6416,74.19,34.91,Uk,49.65,1509,30.75,1,20.02,0.38,0.43
Community Development Worker,Finance,Increasing,Moderate,138255.12,Phd,6,8127,9314,44.01,33.91,Germany,68.82,1187,14.61,2,9.65,0.9,0.53
Land/Geomatics Surveyor,Finance,Increasing,Low,108483.36,High School,20,4372,530,44.08,91.53,India,76.98,-3842,-87.88,1,-7.44,0.65,-0.13
Dentist,Healthcare,Decreasing,High,90850.07,Master’S Degree,4,941,6373,87.42,55.75,India,79.26,5432,577.26,3,255.44,0.51,2.59
Data Processing Manager,Manufacturing,Increasing,Low,72083.68,Associate Degree,5,5603,7676,43.74,10.99,Germany,59.97,2073,37.0,1,32.93,0.35,0.52
Museum/Gallery Conservator,Healthcare,Increasing,Moderate,124257.71,Master’S Degree,11,9200,4980,23.82,3.27,Canada,54.79,-4220,-45.87,2,-44.37,0.79,0.34
"Engineer, Maintenance (It)",Entertainment,Increasing,High,111631.04,Associate Degree,3,4033,4801,90.77,16.81,Germany,35.73,768,19.04,3,15.84,0.68,0.53
Forest/Woodland Manager,Transportation,Decreasing,High,104788.07,Bachelor’S Degree,10,8479,1712,92.94,68.84,India,32.78,-6767,-79.81,3,-24.87,0.62,-0.04
Television Floor Manager,Healthcare,Decreasing,Moderate,83312.59,Master’S Degree,8,8159,5142,46.84,95.05,India,49.77,-3017,-36.98,2,-1.83,0.44,0.0
Contracting Civil Engineer,Transportation,Increasing,Low,92960.01,Master’S Degree,16,6925,488,83.41,91.42,Uk,69.17,-6437,-92.95,1,-7.98,0.52,-0.19
Financial Adviser,Healthcare,Increasing,High,32457.25,Associate Degree,0,1913,374,51.4,12.74,Uk,44.7,-1539,-80.45,3,-70.2,0.02,-0.05
Travel Agency Manager,Entertainment,Decreasing,High,108910.63,Associate Degree,19,2607,6421,33.36,71.44,Australia,59.25,3814,146.3,3,41.78,0.66,0.87
Futures Trader,Manufacturing,Increasing,High,100729.93,Phd,2,3230,9235,1.17,82.59,Germany,67.21,6005,185.91,3,32.37,0.59,0.97
"Horticulturist, Amenity",Manufacturing,Decreasing,Moderate,82720.44,Bachelor’S Degree,19,1671,3602,22.39,31.76,Germany,58.19,1931,115.56,2,78.86,0.44,0.8
Environmental Health Practitioner,It,Decreasing,Low,38228.36,Master’S Degree,10,3962,491,61.14,63.68,Canada,46.97,-3471,-87.61,1,-31.82,0.07,-0.22
"Lecturer, Higher Education",Finance,Increasing,Moderate,104280.33,High School,12,9707,4638,53.58,26.45,Usa,43.94,-5069,-52.22,2,-38.41,0.62,0.2
Multimedia Specialist,It,Increasing,Moderate,106756.49,Associate Degree,19,8853,4024,32.53,87.84,India,54.66,-4829,-54.55,2,-6.63,0.64,0.01
Lawyer,Finance,Decreasing,Low,138511.15,Bachelor’S Degree,4,1985,2390,85.8,66.14,Uk,32.47,405,20.4,1,6.91,0.9,0.45
"Administrator, Arts",Retail,Increasing,Low,121855.6,Phd,0,6592,1648,96.22,57.68,Uk,29.38,-4944,-75.0,1,-31.74,0.77,0.06
Recruitment Consultant,Manufacturing,Decreasing,High,141803.76,Associate Degree,12,8711,7930,26.59,91.54,Uk,58.79,-781,-8.97,3,-0.76,0.93,0.27
Pension Scheme Manager,Manufacturing,Increasing,Low,79476.01,Master’S Degree,17,9112,1891,55.79,75.58,Brazil,40.0,-7221,-79.25,1,-19.35,0.41,-0.12
Clinical Molecular Geneticist,Healthcare,Increasing,Low,118919.63,Bachelor’S Degree,11,9372,5601,23.89,16.06,Usa,39.65,-3771,-40.24,1,-33.77,0.74,0.31
Hospital Doctor,Manufacturing,Decreasing,High,79823.7,High School,18,2327,7776,51.42,14.59,Australia,46.98,5449,234.16,3,200.0,0.42,1.32
"Producer, Television/Film/Video",Transportation,Increasing,High,96724.08,Master’S Degree,10,5216,8847,30.89,11.75,Brazil,51.9,3631,69.61,3,61.43,0.56,0.71
Environmental Education Officer,It,Increasing,Low,73698.8,Phd,5,4728,1236,32.8,23.53,Usa,61.56,-3492,-73.86,1,-56.48,0.36,0.04
"Engineer, Site",Education,Increasing,Low,137575.49,Bachelor’S Degree,7,9378,2998,29.6,10.05,Brazil,70.32,-6380,-68.03,1,-61.19,0.9,0.27
Commercial Art Gallery Manager,Healthcare,Decreasing,Low,110563.27,Master’S Degree,16,9836,1580,11.83,12.48,Germany,43.42,-8256,-83.94,1,-73.46,0.67,0.13
Tree Surgeon,Healthcare,Increasing,High,144602.01,Bachelor’S Degree,0,9603,3398,2.55,87.74,China,24.1,-6205,-64.62,3,-7.92,0.96,0.06
"Therapist, Sports",Manufacturing,Increasing,Moderate,83069.03,Associate Degree,18,391,208,91.12,22.2,Uk,36.54,-183,-46.8,2,-36.41,0.44,0.18
Operational Researcher,Manufacturing,Increasing,Low,95366.41,Master’S Degree,12,292,6344,96.37,86.86,India,25.52,6052,2072.6,1,272.34,0.54,8.49
Barrister'S Clerk,It,Increasing,Low,37854.07,Phd,14,5114,9427,54.63,8.6,India,23.72,4313,84.34,1,77.08,0.07,0.63
Primary School Teacher,It,Decreasing,Moderate,37930.24,Master’S Degree,14,4618,8794,29.42,3.09,India,35.13,4176,90.43,2,87.63,0.07,0.67
Museum/Gallery Curator,Manufacturing,Decreasing,Moderate,47662.0,Associate Degree,7,1250,4015,45.14,77.32,India,66.07,2765,221.2,2,50.17,0.15,1.0
"Restaurant Manager, Fast Food",Entertainment,Increasing,High,149210.87,High School,16,6670,4616,58.55,17.67,India,25.32,-2054,-30.79,3,-25.35,0.99,0.42
Market Researcher,Retail,Increasing,Low,131400.96,Bachelor’S Degree,10,8823,1258,83.97,4.72,China,29.37,-7565,-85.74,1,-81.69,0.85,0.2
Hydrographic Surveyor,Entertainment,Increasing,Moderate,118259.44,Associate Degree,0,3036,532,57.55,13.25,China,55.39,-2504,-82.48,2,-71.55,0.74,0.15
"Administrator, Sports",Healthcare,Decreasing,Low,104105.15,Associate Degree,13,4880,5732,85.62,82.6,India,31.94,852,17.46,1,3.04,0.62,0.31
Public Relations Officer,Retail,Increasing,High,63403.54,High School,9,7534,1984,20.82,47.5,Uk,30.08,-5550,-73.67,3,-38.67,0.28,-0.05
Structural Engineer,Healthcare,Decreasing,High,51009.73,Bachelor’S Degree,1,8821,8414,77.77,57.67,Uk,75.05,-407,-4.61,3,-1.95,0.18,0.16
Forest/Woodland Manager,Transportation,Decreasing,High,113419.91,Phd,12,6032,1373,23.6,32.88,Canada,57.91,-4659,-77.24,3,-51.84,0.7,0.1
"Copywriter, Advertising",Retail,Decreasing,High,42330.3,Master’S Degree,0,2466,3874,6.43,78.85,Uk,32.82,1408,57.1,3,12.08,0.1,0.32
"Embryologist, Clinical",Healthcare,Increasing,High,56589.18,Bachelor’S Degree,18,7603,9373,22.94,76.18,Canada,37.94,1770,23.28,3,5.55,0.22,0.23
"Engineer, Broadcasting (Operations)",It,Increasing,Moderate,139643.43,Master’S Degree,1,8002,6696,5.28,90.06,Germany,73.18,-1306,-16.32,2,-1.62,0.91,0.24
Architectural Technologist,Retail,Decreasing,Moderate,149155.98,Associate Degree,1,3896,7649,82.68,57.05,Australia,72.37,3753,96.33,2,41.37,0.99,0.81
Oceanographer,Finance,Decreasing,High,107331.69,Phd,16,106,6753,30.49,9.95,Germany,75.93,6647,6270.75,3,5646.81,0.64,25.55
"Psychotherapist, Child",Entertainment,Decreasing,High,53469.44,High School,12,9508,6959,75.5,68.79,Usa,62.99,-2549,-26.81,3,-8.37,0.2,0.05
Energy Engineer,Finance,Increasing,Low,79510.66,High School,17,1805,5397,56.19,57.15,India,41.3,3592,199.0,1,85.27,0.41,1.05
Rural Practice Surveyor,Entertainment,Decreasing,Low,92321.26,High School,3,6255,7605,63.01,32.7,Germany,59.19,1350,21.58,1,14.53,0.52,0.44
Editorial Assistant,Finance,Increasing,Low,128300.46,Master’S Degree,8,5406,9689,94.07,41.84,Uk,25.64,4283,79.23,1,46.08,0.82,0.74
It Trainer,Healthcare,Increasing,High,65535.14,High School,11,3353,3315,85.67,32.69,China,67.71,-38,-1.13,3,-0.76,0.3,0.29
"Sound Technician, Broadcasting/Film/Video",Finance,Decreasing,Low,44064.8,Associate Degree,20,6688,7415,21.0,34.39,China,55.02,727,10.87,1,7.13,0.12,0.28
"Therapist, Speech And Language",Healthcare,Decreasing,Low,32579.31,High School,1,5281,9162,1.32,87.18,India,62.0,3881,73.49,1,9.42,0.02,0.34
Retail Merchandiser,Education,Decreasing,Low,94086.63,Associate Degree,5,6138,9078,15.18,18.46,Canada,28.45,2940,47.9,1,39.06,0.53,0.6
Radio Broadcast Assistant,Retail,Decreasing,Moderate,48836.37,Associate Degree,8,4544,9577,68.6,37.04,Canada,22.61,5033,110.76,2,69.74,0.16,0.68
"Administrator, Arts",Manufacturing,Increasing,High,138172.48,Associate Degree,4,4401,1814,51.37,5.94,Uk,43.4,-2587,-58.78,3,-55.29,0.9,0.32
Child Psychotherapist,Healthcare,Decreasing,Low,73267.19,High School,1,9641,4874,88.24,43.12,Brazil,58.23,-4767,-49.45,1,-28.12,0.36,0.08
Geophysical Data Processor,Finance,Decreasing,High,131471.6,High School,11,937,6428,10.75,24.45,Brazil,60.69,5491,586.02,3,442.74,0.85,2.82
Art Therapist,Healthcare,Increasing,Moderate,136311.03,Associate Degree,3,4444,4111,41.62,50.11,Usa,34.42,-333,-7.49,2,-3.74,0.89,0.39
Learning Disability Nurse,Healthcare,Decreasing,Moderate,31470.17,Master’S Degree,3,7005,1317,77.44,16.94,India,51.34,-5688,-81.2,2,-67.44,0.01,-0.07
Marine Scientist,Healthcare,Decreasing,High,43618.17,Associate Degree,2,1192,5933,82.9,0.64,Canada,24.45,4741,397.73,3,395.19,0.11,1.92
Freight Forwarder,Transportation,Decreasing,Low,38468.62,Master’S Degree,8,816,8572,12.59,96.58,Brazil,30.25,7756,950.49,1,32.51,0.07,3.83
"Research Officer, Political Party",It,Decreasing,High,135617.66,High School,3,3776,5915,13.26,31.73,India,37.0,2139,56.65,3,38.67,0.88,0.7
Personnel Officer,Transportation,Increasing,Low,89565.74,Associate Degree,1,2954,6905,32.06,31.5,Germany,24.64,3951,133.75,1,91.62,0.5,0.89
Telecommunications Researcher,Manufacturing,Decreasing,Moderate,99254.59,Phd,15,3370,1770,59.01,89.18,India,78.48,-1600,-47.48,2,-5.14,0.58,0.02
Building Surveyor,Education,Increasing,Moderate,137078.44,Associate Degree,2,1712,6974,96.73,1.19,India,20.87,5262,307.36,2,303.7,0.89,1.79
Insurance Account Manager,Finance,Decreasing,Moderate,88751.63,Associate Degree,12,132,3465,57.47,50.52,Australia,46.06,3333,2525.0,2,1249.37,0.49,10.4
Facilities Manager,Education,Decreasing,Moderate,93798.77,Associate Degree,18,6655,3606,84.63,59.7,Canada,67.22,-3049,-45.82,2,-18.46,0.53,0.1
Investment Analyst,Education,Increasing,High,56176.24,Associate Degree,17,8700,1678,86.83,50.77,India,79.81,-7022,-80.71,3,-39.73,0.22,-0.11
Advertising Art Director,Finance,Decreasing,Low,64785.27,Master’S Degree,16,164,6170,94.81,30.12,Canada,70.66,6006,3662.2,1,2559.14,0.29,14.95
Sales Promotion Account Executive,Transportation,Decreasing,High,47570.86,Associate Degree,6,7882,8036,79.76,97.24,Australia,54.23,154,1.95,3,0.05,0.15,0.06
Drilling Engineer,Education,Increasing,Low,64078.71,Associate Degree,17,5952,307,11.98,9.96,Usa,34.37,-5645,-94.84,1,-85.4,0.28,-0.02
"Conservator, Furniture",Education,Increasing,Moderate,90042.43,Phd,10,6188,3378,22.78,45.57,Uk,47.18,-2810,-45.41,2,-24.72,0.5,0.13
"Programme Researcher, Broadcasting/Film/Video",Transportation,Decreasing,Low,85425.31,High School,6,7041,6576,0.9,12.39,Germany,42.62,-465,-6.6,1,-5.79,0.46,0.37
Systems Analyst,Finance,Increasing,Low,60289.24,Master’S Degree,17,5493,9515,55.02,81.88,Uk,30.61,4022,73.22,1,13.27,0.25,0.42
"Administrator, Civil Service",Manufacturing,Decreasing,Moderate,143337.09,Master’S Degree,7,7356,5173,36.22,33.2,Usa,33.34,-2183,-29.68,2,-19.82,0.94,0.37
General Practice Doctor,Manufacturing,Increasing,Moderate,64695.19,Phd,18,338,6726,48.78,42.96,Australia,31.23,6388,1889.94,2,1078.02,0.29,7.82
"Designer, Jewellery",It,Increasing,Low,137659.98,Phd,14,3157,166,3.96,71.49,Germany,67.12,-2991,-94.74,1,-27.01,0.9,-0.02
"Scientist, Clinical (Histocompatibility And Immunogenetics)",Retail,Increasing,Low,102851.29,Master’S Degree,3,8693,6605,79.6,82.14,Canada,60.05,-2088,-24.02,1,-4.29,0.61,0.14
Telecommunications Researcher,Retail,Decreasing,Low,140733.92,Master’S Degree,9,1176,2596,16.68,49.15,Uk,29.22,1420,120.75,1,61.4,0.92,0.91
"Surveyor, Insurance",Entertainment,Increasing,Low,134230.71,Associate Degree,5,3366,9423,48.9,15.16,India,41.28,6057,179.95,1,152.67,0.87,1.23
"Exhibitions Officer, Museum/Gallery",Finance,Increasing,High,83103.5,High School,16,9228,7325,89.73,33.11,China,35.4,-1903,-20.62,3,-13.79,0.44,0.25
Financial Trader,Transportation,Decreasing,Moderate,85674.79,Phd,7,2647,3555,10.85,27.83,Germany,62.05,908,34.3,2,24.76,0.46,0.49
"Restaurant Manager, Fast Food",Retail,Decreasing,Moderate,117621.22,Associate Degree,0,6066,7126,32.25,58.8,Usa,46.65,1060,17.47,2,7.2,0.73,0.41
Higher Education Lecturer,Entertainment,Increasing,High,143361.81,Phd,20,8616,5057,24.79,75.35,Australia,52.65,-3559,-41.31,3,-10.18,0.94,0.19
Petroleum Engineer,Education,Decreasing,High,82259.71,Associate Degree,6,8516,1339,67.3,30.08,Germany,64.0,-7177,-84.28,3,-58.93,0.44,0.0
"Accountant, Chartered Public Finance",Education,Increasing,Moderate,67226.49,Phd,18,7724,4643,34.92,69.41,Usa,35.88,-3081,-39.89,2,-12.2,0.31,0.03
Technical Sales Engineer,Transportation,Decreasing,Low,51133.73,Bachelor’S Degree,5,9951,4420,28.41,25.4,Usa,72.23,-5531,-55.58,1,-41.46,0.18,0.05
"Scientist, Marine",Entertainment,Increasing,Low,82167.48,Master’S Degree,16,7276,7888,63.11,25.98,Canada,59.29,612,8.41,1,6.23,0.43,0.39
Comptroller,Education,Increasing,Moderate,96736.65,Master’S Degree,4,2520,8620,79.64,51.63,India,24.89,6100,242.06,2,117.09,0.56,1.28
"Secretary, Company",It,Increasing,Moderate,51799.09,Master’S Degree,14,7676,2956,0.52,35.72,Australia,38.2,-4720,-61.49,2,-39.53,0.18,0.0
Restaurant Manager,It,Decreasing,Moderate,48477.91,Bachelor’S Degree,16,8673,6032,5.84,61.47,Brazil,58.0,-2641,-30.45,2,-11.73,0.15,0.04
Camera Operator,Education,Decreasing,High,37825.96,Phd,7,5710,8747,2.09,94.25,Australia,26.33,3037,53.19,3,3.06,0.07,0.25
Operations Geologist,Manufacturing,Decreasing,Low,93206.54,Master’S Degree,5,4148,5011,92.96,76.14,Australia,42.42,863,20.81,1,4.96,0.53,0.31
Glass Blower/Designer,Finance,Decreasing,Moderate,135747.39,Associate Degree,20,9434,4112,93.62,72.75,China,38.54,-5322,-56.41,2,-15.37,0.88,0.12
Toxicologist,Entertainment,Decreasing,Low,103780.87,High School,2,440,9689,93.12,87.02,Usa,62.61,9249,2102.05,1,272.85,0.61,8.63
Dramatherapist,Transportation,Increasing,Moderate,130712.58,Phd,14,4314,5627,60.91,42.3,Uk,62.22,1313,30.44,2,17.56,0.84,0.55
Product/Process Development Scientist,Healthcare,Increasing,Low,69399.46,High School,10,7113,3370,46.8,96.04,China,39.76,-3743,-52.62,1,-2.08,0.33,-0.1
Cytogeneticist,Transportation,Decreasing,Low,65590.09,Bachelor’S Degree,19,1091,108,80.47,81.52,Germany,58.18,-983,-90.1,1,-16.65,0.3,-0.22
"Engineer, Civil (Consulting)",Education,Decreasing,Moderate,114245.64,High School,13,6703,8990,30.78,2.72,Usa,78.76,2287,34.12,2,33.19,0.7,0.64
Television Floor Manager,Entertainment,Increasing,Low,41609.29,Master’S Degree,5,409,1559,81.61,6.33,China,57.34,1150,281.17,1,263.38,0.1,1.43
Stage Manager,Healthcare,Increasing,High,123366.48,Phd,10,9493,228,9.85,29.85,Uk,47.27,-9265,-97.6,3,-68.47,0.78,0.05
Biomedical Scientist,Entertainment,Increasing,Moderate,59183.8,Bachelor’S Degree,14,1822,3111,27.86,69.28,Canada,53.09,1289,70.75,2,21.73,0.24,0.45
Accommodation Manager,It,Decreasing,High,127902.63,Associate Degree,18,7050,4034,28.34,55.6,China,56.3,-3016,-42.78,3,-18.99,0.82,0.21
Secondary School Teacher,Entertainment,Decreasing,Moderate,144650.96,Phd,7,9095,6017,28.07,17.75,Brazil,26.39,-3078,-33.84,2,-27.84,0.96,0.4
"Scientist, Forensic",Entertainment,Increasing,High,97079.77,High School,18,4197,6712,9.87,21.98,Uk,69.02,2515,59.92,3,46.75,0.56,0.64
Actor,It,Increasing,High,115913.36,High School,4,9480,8602,51.65,17.08,Australia,64.91,-878,-9.26,3,-7.68,0.72,0.43
Media Planner,Manufacturing,Increasing,High,90289.64,Master’S Degree,10,9826,9875,57.35,83.14,Uk,52.04,49,0.5,3,0.08,0.5,0.2
Contractor,Education,Decreasing,High,122233.28,Associate Degree,3,9341,6943,44.73,43.71,Australia,31.04,-2398,-25.67,3,-14.45,0.77,0.3
Energy Engineer,Finance,Decreasing,High,129013.34,High School,19,2265,8019,28.61,39.45,Brazil,77.75,5754,254.04,3,153.82,0.83,1.45
"Surveyor, Hydrographic",Education,Increasing,Low,58084.64,Bachelor’S Degree,18,767,9529,26.49,53.42,Brazil,28.59,8762,1142.37,1,532.12,0.23,4.78
"Programmer, Applications",Manufacturing,Decreasing,Low,87668.62,Associate Degree,11,9217,2458,77.08,67.45,India,28.61,-6759,-73.33,1,-23.87,0.48,-0.05
"Journalist, Broadcasting",It,Increasing,High,35089.04,Associate Degree,18,423,2152,75.04,30.86,Canada,56.72,1729,408.75,3,282.61,0.04,1.86
Seismic Interpreter,Finance,Increasing,High,61737.13,Associate Degree,11,2475,6551,74.5,26.38,Australia,26.65,4076,164.69,3,121.24,0.26,0.96
Biomedical Engineer,Healthcare,Increasing,Moderate,72256.01,High School,15,6326,8565,65.92,50.52,Uk,41.0,2239,35.39,2,17.51,0.35,0.4
"Engineer, Civil (Consulting)",Transportation,Increasing,Moderate,123451.04,Phd,3,2840,2615,0.9,32.69,Uk,38.46,-225,-7.92,2,-5.33,0.78,0.4
"Sound Technician, Broadcasting/Film/Video",Transportation,Increasing,High,41626.18,Bachelor’S Degree,18,4709,9803,80.31,49.11,China,21.24,5094,108.18,3,55.05,0.1,0.61
Hospital Pharmacist,Healthcare,Decreasing,Low,116803.63,Bachelor’S Degree,13,684,7513,70.35,26.99,Usa,72.34,6829,998.39,1,728.93,0.72,4.43
Museum/Gallery Conservator,Healthcare,Decreasing,High,44281.82,Master’S Degree,19,2819,4400,71.39,51.57,Uk,72.31,1581,56.08,3,27.16,0.12,0.41
"Doctor, General Practice",It,Decreasing,High,112019.23,Phd,8,2233,6282,44.3,92.16,Germany,52.92,4049,181.33,3,14.22,0.68,0.95
Health And Safety Inspector,Education,Decreasing,Moderate,32086.02,Master’S Degree,5,6648,1732,18.96,20.71,India,41.8,-4916,-73.95,2,-58.63,0.02,-0.05
Science Writer,Manufacturing,Decreasing,Low,132767.94,High School,5,9141,3570,60.84,58.51,Uk,26.17,-5571,-60.95,1,-25.29,0.86,0.14
Graphic Designer,Finance,Increasing,High,121789.84,Associate Degree,6,7011,8350,57.4,19.77,Brazil,35.16,1339,19.1,3,15.32,0.76,0.55
Set Designer,Entertainment,Increasing,Low,80401.7,Master’S Degree,19,2605,7354,10.15,21.99,Usa,30.62,4749,182.3,1,142.21,0.42,1.09
